x0                                 0.010167
x1                                 0.14605
x2                                 0.028138
x3                                 0.34088
x4                                 0.11139
x5                                 0.0003885
x6                                 0.025748
x7                                 0.036582
x8                                 0.014409
x9                                 0.25938
x10                                0.025363
x0^2                               8.0139e-08
x0*x1                              1.4222e-06
x0*x2                              3.275e-07
x0*x3                              1.4052e-05
x0*x4                              4.1978e-06
x0*x5                              1.2748e-08
x0*x6                              7.102e-07
x0*x7                              2.0424e-06
x0*x8                              7.455e-07
x0*x9                              6.267e-08
x0*x10                             5.3425e-07
x1^2                               2.0358e-07
x1*x2                              2.2214e-06
x1*x3                              0.00017811
x1*x4                              5.4394e-05
x1*x5                              4.4218e-08
x1*x6                              2.5694e-06
x1*x7                              7.8105e-06
x1*x8                              5.3893e-07
x1*x9                              1.7638e-07
x1*x10                             1.2458e-05
x2^2                               0.00016065
x2*x3                              6.7416e-05
x2*x4                              1.9731e-05
x2*x5                              9.3409e-07
x2*x6                              5.3508e-05
x2*x7                              8.9622e-05
x2*x8                              3.3078e-05
x2*x9                              2.9224e-09
x2*x10                             3.5243e-06
x3^2                               1.3184e-06
x3*x4                              0.00014419
x3*x5                              2.0102e-06
x3*x6                              5.389e-05
x3*x7                              9.1752e-05
x3*x8                              2.6554e-05
x3*x9                              1.3532e-07
x3*x10                             3.59e-05
x4^2                               6.0195e-07
x4*x5                              3.7783e-07
x4*x6                              1.9893e-05
x4*x7                              2.4345e-05
x4*x8                              1.2578e-05
x4*x9                              7.4585e-09
x4*x10                             1.3086e-05
x5^2                               9.3056e-09
x5*x6                              2.9515e-08
x5*x7                              2.3578e-07
x5*x8                              1.4472e-07
x5*x9                              5.2737e-09
x5*x10                             3.4075e-07
x6^2                               2.704e-06
x6*x7                              5.2338e-05
x6*x8                              0.00013517
x6*x9                              6.213e-08
x6*x10                             1.4041e-06
x7^2                               9.2283e-05
x7*x8                              2.9432e-05
x7*x9                              2.1827e-07
x7*x10                             1.4193e-06
x8^2                               4.2521e-05
x8*x9                              1.0427e-10
x8*x10                             1.5109e-06
x9^2                               1.6342e-08
x9*x10                             1.1643e-11
x10^2                              5.4168e-12


Total Sobols
   Total Sobol delta_CD0 = 0.010191
   Total Sobol delta_ks = 0.14631
   Total Sobol delta_e = 0.028569
   Total Sobol delta_eta = 0.34149
   Total Sobol delta_kv = 0.11169
   Total Sobol delta_alpha = 0.00039265
   Total Sobol delta_kw = 0.02607
   Total Sobol delta_fsys = 0.036973
   Total Sobol delta_p = 0.014691
   Total Sobol delta_beta = 0.25938
   Total Sobol delta_Cf = 0.025433
Rescaled Total Sobols
   Total Sobol delta_CD0 = 0.010179
   Total Sobol delta_ks = 0.14614
   Total Sobol delta_e = 0.028535
   Total Sobol delta_eta = 0.34109
   Total Sobol delta_kv = 0.11155
   Total Sobol delta_alpha = 0.00039218
   Total Sobol delta_kw = 0.026039
   Total Sobol delta_fsys = 0.036929
   Total Sobol delta_p = 0.014674
   Total Sobol delta_beta = 0.25907
   Total Sobol delta_Cf = 0.025402
