intercept                          	0.047763       
x0                                 	7.6111e-05
x1                                 	0.00028847
x2                                 	-0.00012662
x3                                 	-0.00044071
x4                                 	0.00025193
x5                                 	1.4878e-05
x6                                 	0.00012112
x7                                 	0.00014437
x8                                 	9.0607e-05
x9                                 	0.00038443
x10                                	0.00012021
x0^2                               	1.511e-07
x0*x1                              	-9.0019e-07
x0*x2                              	-4.3197e-07
x0*x3                              	-2.8295e-06
x0*x4                              	1.5465e-06
x0*x5                              	-8.5224e-08
x0*x6                              	6.3612e-07
x0*x7                              	1.0787e-06
x0*x8                              	6.5174e-07
x0*x9                              	1.8896e-07
x0*x10                             	5.5172e-07
x1^2                               	-2.4083e-07
x1*x2                              	-1.125e-06
x1*x3                              	-1.0074e-05
x1*x4                              	5.567e-06
x1*x5                              	1.5873e-07
x1*x6                              	1.2099e-06
x1*x7                              	2.1095e-06
x1*x8                              	5.5413e-07
x1*x9                              	3.1701e-07
x1*x10                             	2.6642e-06
x2^2                               	6.765e-06
x2*x3                              	6.1977e-06
x2*x4                              	-3.3529e-06
x2*x5                              	-7.2953e-07
x2*x6                              	-5.5215e-06
x2*x7                              	-7.1459e-06
x2*x8                              	-4.3413e-06
x2*x9                              	4.0805e-08
x2*x10                             	-1.4171e-06
x3^2                               	6.1285e-07
x3*x4                              	-9.0639e-06
x3*x5                              	-1.0702e-06
x3*x6                              	-5.5412e-06
x3*x7                              	-7.2303e-06
x3*x8                              	-3.8896e-06
x3*x9                              	2.7767e-07
x3*x10                             	-4.5227e-06
x4^2                               	4.1411e-07
x4*x5                              	4.6398e-07
x4*x6                              	3.3667e-06
x4*x7                              	3.7244e-06
x4*x8                              	2.677e-06
x4*x9                              	6.5189e-08
x4*x10                             	2.7305e-06
x5^2                               	5.1488e-08
x5*x6                              	-1.2968e-07
x5*x7                              	3.6653e-07
x5*x8                              	2.8715e-07
x5*x9                              	-5.4816e-08
x5*x10                             	4.4062e-07
x6^2                               	8.7768e-07
x6*x7                              	5.4608e-06
x6*x8                              	8.7759e-06
x6*x9                              	1.8815e-07
x6*x10                             	8.9443e-07
x7^2                               	5.1274e-06
x7*x8                              	4.095e-06
x7*x9                              	-3.5265e-07
x7*x10                             	8.9926e-07
x8^2                               	3.4805e-06
x8*x9                              	7.7079e-09
x8*x10                             	9.2782e-07
x9^2                               	-6.8231e-08
x9*x10                             	2.5756e-09
x10^2                              	-1.2422e-09
