x0                                 0.030624
x1                                 0.031602
x2                                 0.064859
x3                                 0.44832
x4                                 0.055266
x5                                 0.0003301
x6                                 0.051171
x7                                 0.082462
x8                                 0.0094175
x9                                 0.16775
x10                                0.056166
x0^2                               6.1265e-09
x0*x1                              1.8774e-07
x0*x2                              2.5492e-07
x0*x3                              3.5537e-05
x0*x4                              2.3916e-06
x0*x5                              3.5435e-07
x0*x6                              7.6876e-07
x0*x7                              3.6783e-06
x0*x8                              2.2199e-07
x0*x9                              2.4731e-08
x0*x10                             3.8268e-06
x1^2                               4.0083e-07
x1*x2                              1.535e-06
x1*x3                              2.8784e-05
x1*x4                              3.3327e-06
x1*x5                              2.03e-08
x1*x6                              2.0208e-07
x1*x7                              2.6199e-06
x1*x8                              7.4725e-08
x1*x9                              5.6866e-08
x1*x10                             3.9282e-06
x2^2                               0.00046403
x2*x3                              9.2564e-05
x2*x4                              2.3583e-05
x2*x5                              6.1837e-09
x2*x6                              0.0001333
x2*x7                              0.00028119
x2*x8                              2.7678e-05
x2*x9                              1.7833e-07
x2*x10                             8.6943e-06
x3^2                               1.0368e-06
x3*x4                              4.251e-05
x3*x5                              6.4437e-07
x3*x6                              7.064e-05
x3*x7                              0.0001294
x3*x8                              1.7492e-05
x3*x9                              3.0322e-08
x3*x10                             4.6803e-05
x4^2                               4.0663e-07
x4*x5                              2.4766e-06
x4*x6                              1.2094e-05
x4*x7                              2.2509e-05
x4*x8                              6.3548e-06
x4*x9                              1.1573e-08
x4*x10                             1.1931e-05
x5^2                               5.2682e-08
x5*x6                              1.6256e-08
x5*x7                              7.9784e-07
x5*x8                              8.8892e-08
x5*x9                              1.935e-08
x5*x10                             4.408e-08
x6^2                               1.1404e-05
x6*x7                              0.00014318
x6*x8                              8.8338e-05
x6*x9                              1.3059e-09
x6*x10                             4.4365e-06
x7^2                               0.00024986
x7*x8                              2.9934e-05
x7*x9                              8.021e-08
x7*x10                             5.498e-06
x8^2                               1.1873e-05
x8*x9                              6.6315e-08
x8*x10                             1.2226e-07
x9^2                               1.8266e-12
x9*x10                             4.6214e-08
x10^2                              4.3018e-07


Total Sobols
   Total Sobol delta_CD0 = 0.030672
   Total Sobol delta_ks = 0.031643
   Total Sobol delta_e = 0.065892
   Total Sobol delta_eta = 0.44879
   Total Sobol delta_kv = 0.055393
   Total Sobol delta_alpha = 0.00033462
   Total Sobol delta_kw = 0.051636
   Total Sobol delta_fsys = 0.083331
   Total Sobol delta_p = 0.0095997
   Total Sobol delta_beta = 0.16775
   Total Sobol delta_Cf = 0.056252
Rescaled Total Sobols
   Total Sobol delta_CD0 = 0.030632
   Total Sobol delta_ks = 0.031602
   Total Sobol delta_e = 0.065808
   Total Sobol delta_eta = 0.44821
   Total Sobol delta_kv = 0.055322
   Total Sobol delta_alpha = 0.00033419
   Total Sobol delta_kw = 0.051569
   Total Sobol delta_fsys = 0.083223
   Total Sobol delta_p = 0.0095873
   Total Sobol delta_beta = 0.16754
   Total Sobol delta_Cf = 0.056179
