intercept                          	0.042051       
x0                                 	7.6697e-05
x1                                 	7.7912e-05
x2                                 	-0.00011162
x3                                 	-0.00029346
x4                                 	0.00010303
x5                                 	7.9629e-06
x6                                 	9.9143e-05
x7                                 	0.00012586
x8                                 	4.2532e-05
x9                                 	0.00017951
x10                                	0.00010387
x0^2                               	-2.4257e-08
x0*x1                              	-1.899e-07
x0*x2                              	-2.2128e-07
x0*x3                              	-2.6127e-06
x0*x4                              	6.7779e-07
x0*x5                              	2.6089e-07
x0*x6                              	3.8428e-07
x0*x7                              	8.4056e-07
x0*x8                              	2.065e-07
x0*x9                              	-6.8923e-08
x0*x10                             	8.5736e-07
x1^2                               	-1.9621e-07
x1*x2                              	-5.43e-07
x1*x3                              	-2.3514e-06
x1*x4                              	8.0011e-07
x1*x5                              	-6.2445e-08
x1*x6                              	1.9702e-07
x1*x7                              	7.094e-07
x1*x8                              	1.1981e-07
x1*x9                              	-1.0451e-07
x1*x10                             	8.6864e-07
x2^2                               	6.6759e-06
x2*x3                              	4.2167e-06
x2*x4                              	-2.1284e-06
x2*x5                              	-3.4464e-08
x2*x6                              	-5.0601e-06
x2*x7                              	-7.3493e-06
x2*x8                              	-2.3058e-06
x2*x9                              	1.8508e-07
x2*x10                             	-1.2923e-06
x3^2                               	3.1555e-07
x3*x4                              	-2.8575e-06
x3*x5                              	-3.5182e-07
x3*x6                              	-3.6836e-06
x3*x7                              	-4.9856e-06
x3*x8                              	-1.833e-06
x3*x9                              	-7.6318e-08
x3*x10                             	-2.9984e-06
x4^2                               	1.9762e-07
x4*x5                              	6.8972e-07
x4*x6                              	1.5242e-06
x4*x7                              	2.0793e-06
x4*x8                              	1.1048e-06
x4*x9                              	-4.7149e-08
x4*x10                             	1.5139e-06
x5^2                               	-7.1132e-08
x5*x6                              	-5.588e-08
x5*x7                              	3.9148e-07
x5*x8                              	-1.3067e-07
x5*x9                              	-6.0965e-08
x5*x10                             	-9.2017e-08
x6^2                               	1.0466e-06
x6*x7                              	5.2443e-06
x6*x8                              	4.1193e-06
x6*x9                              	-1.5838e-08
x6*x10                             	9.2314e-07
x7^2                               	4.8987e-06
x7*x8                              	2.3979e-06
x7*x9                              	-1.2413e-07
x7*x10                             	1.0277e-06
x8^2                               	1.0679e-06
x8*x9                              	-1.1286e-07
x8*x10                             	1.5325e-07
x9^2                               	-4.1885e-10
x9*x10                             	-9.4218e-08
x10^2                              	-2.0326e-07
