intercept                          	0.045852       
x0                                 	8.0758e-05
x1                                 	0.00049002
x2                                 	-0.000114
x3                                 	-0.0002228
x4                                 	-1.74e-07
x5                                 	7.727e-06
x6                                 	0.000102
x7                                 	0.00014081
x8                                 	-2.7009e-07
x9                                 	0.00060669
x10                                	0.0001372
x0^2                               	3.84e-08
x0*x1                              	-4.2559e-07
x0*x2                              	-2.0032e-07
x0*x3                              	-1.1471e-06
x0*x4                              	-3.0403e-07
x0*x5                              	-4.732e-08
x0*x6                              	2.1029e-07
x0*x7                              	5.7815e-07
x0*x8                              	1.5779e-07
x0*x9                              	1.1145e-07
x0*x10                             	8.077e-07
x1^2                               	-1.1024e-06
x1*x2                              	-1.1283e-06
x1*x3                              	-7.4715e-06
x1*x4                              	8.6418e-08
x1*x5                              	4.7696e-07
x1*x6                              	1.451e-06
x1*x7                              	3.2423e-06
x1*x8                              	3.1754e-07
x1*x9                              	-1.7176e-07
x1*x10                             	4.8044e-06
x2^2                               	6.304e-06
x2*x3                              	2.8206e-06
x2*x4                              	-6.3618e-07
x2*x5                              	1.1117e-07
x2*x6                              	-4.5395e-06
x2*x7                              	-6.4648e-06
x2*x8                              	-2.3873e-07
x2*x9                              	6.7557e-08
x2*x10                             	-6.4427e-07
x3^2                               	-1.3795e-07
x3*x4                              	4.1223e-08
x3*x5                              	-2.0577e-07
x3*x6                              	-2.3101e-06
x3*x7                              	-3.5262e-06
x3*x8                              	-6.0756e-08
x3*x9                              	1.0975e-07
x3*x10                             	-2.3997e-06
x4^2                               	-6.6548e-08
x4*x5                              	8.9725e-08
x4*x6                              	1.0908e-07
x4*x7                              	1.6187e-08
x4*x8                              	-1.818e-07
x4*x9                              	-4.5017e-07
x4*x10                             	4.99e-08
x5^2                               	1.3136e-08
x5*x6                              	1.7313e-07
x5*x7                              	1.0368e-07
x5*x8                              	-2.4989e-08
x5*x9                              	8.5546e-09
x5*x10                             	4.3061e-08
x6^2                               	7.6302e-07
x6*x7                              	4.3553e-06
x6*x8                              	2.6792e-08
x6*x9                              	-1.1553e-07
x6*x10                             	8.0113e-07
x7^2                               	4.6236e-06
x7*x8                              	1.3378e-07
x7*x9                              	9.3711e-09
x7*x10                             	1.3564e-06
x8^2                               	-2.3119e-07
x8*x9                              	1.3948e-07
x8*x10                             	1.8924e-07
x9^2                               	8.6409e-08
x9*x10                             	6.8661e-08
x10^2                              	8.3437e-08
