x0                                 0.0089735
x1                                 0.33038
x2                                 0.017882
x3                                 0.068297
x4                                 4.1655e-08
x5                                 8.215e-05
x6                                 0.014315
x7                                 0.02728
x8                                 1.0037e-07
x9                                 0.50643
x10                                0.025899
x0^2                               4.0577e-09
x0*x1                              2.4921e-07
x0*x2                              5.5213e-08
x0*x3                              1.8104e-06
x0*x4                              1.2718e-07
x0*x5                              3.0808e-09
x0*x6                              6.0846e-08
x0*x7                              4.5991e-07
x0*x8                              3.4257e-08
x0*x9                              1.7089e-08
x0*x10                             8.9761e-07
x1^2                               3.3445e-06
x1*x2                              1.7515e-06
x1*x3                              7.6808e-05
x1*x4                              1.0275e-08
x1*x5                              3.13e-07
x1*x6                              2.897e-06
x1*x7                              1.4464e-05
x1*x8                              1.3873e-07
x1*x9                              4.059e-08
x1*x10                             3.1759e-05
x2^2                               0.00010936
x2*x3                              1.0947e-05
x2*x4                              5.5686e-07
x2*x5                              1.7004e-08
x2*x6                              2.8353e-05
x2*x7                              5.7504e-05
x2*x8                              7.8414e-08
x2*x9                              6.2796e-09
x2*x10                             5.7111e-07
x3^2                               5.2366e-08
x3*x4                              2.3381e-09
x3*x5                              5.8256e-08
x3*x6                              7.3423e-06
x3*x7                              1.7108e-05
x3*x8                              5.0789e-09
x3*x9                              1.6572e-08
x3*x10                             7.9231e-06
x4^2                               1.2187e-08
x4*x5                              1.1077e-08
x4*x6                              1.6371e-08
x4*x7                              3.6052e-10
x4*x8                              4.5474e-08
x4*x9                              2.7883e-07
x4*x10                             3.4259e-09
x5^2                               4.7484e-10
x5*x6                              4.1242e-08
x5*x7                              1.4789e-08
x5*x8                              8.5916e-10
x5*x9                              1.0069e-10
x5*x10                             2.5513e-09
x6^2                               1.6021e-06
x6*x7                              2.6099e-05
x6*x8                              9.8766e-10
x6*x9                              1.8365e-08
x6*x10                             8.8306e-07
x7^2                               5.8828e-05
x7*x8                              2.4626e-08
x7*x9                              1.2083e-10
x7*x10                             2.5315e-06
x8^2                               1.4708e-07
x8*x9                              2.6766e-08
x8*x10                             4.9273e-08
x9^2                               2.0546e-08
x9*x10                             6.4864e-09
x10^2                              1.9157e-08


Total Sobols
   Total Sobol delta_CD0 = 0.0089772
   Total Sobol delta_ks = 0.33051
   Total Sobol delta_e = 0.018091
   Total Sobol delta_eta = 0.068419
   Total Sobol delta_kv = 1.106e-06
   Total Sobol delta_alpha = 8.2612e-05
   Total Sobol delta_kw = 0.014382
   Total Sobol delta_fsys = 0.027457
   Total Sobol delta_p = 6.5192e-07
   Total Sobol delta_beta = 0.50643
   Total Sobol delta_Cf = 0.025943
Rescaled Total Sobols
   Total Sobol delta_CD0 = 0.0089745
   Total Sobol delta_ks = 0.33041
   Total Sobol delta_e = 0.018086
   Total Sobol delta_eta = 0.068399
   Total Sobol delta_kv = 1.1057e-06
   Total Sobol delta_alpha = 8.2588e-05
   Total Sobol delta_kw = 0.014378
   Total Sobol delta_fsys = 0.027449
   Total Sobol delta_p = 6.5173e-07
   Total Sobol delta_beta = 0.50628
   Total Sobol delta_Cf = 0.025936
